year,region,country,sex,number
2010,Africa,Guinea-Bissau,Male,19.1
2010,Africa,South Sudan,Male,30.4
2011,Africa,Congo,Male,13.3
2011,Africa,Côte d'Ivoire,Male,18.8
2011,Africa,Cameroon,Male,15.8
2011,Africa,Guinea,Male,17.3
2011,Africa,Mauritania,Male,25.8
2011,Africa,Uganda,Male,15.4
2011,Africa,Mozambique,Male,17.5
2011,Africa,Ghana,Male,15.4
2011,Africa,Nigeria,Male,24.6
2012,Africa,Niger,Male,38.7
2012,Africa,Gabon,Male,7.9
2012,Africa,Mauritania,Male,21.8
2012,Africa,Comoros,Male,16.8
2012,Africa,Algeria,Male,3.1
2012,Africa,Senegal,Male,18.1
2012,Africa,Senegal,Male,15.5
2012,Africa,Guinea,Male,18.7
2013,Africa,Togo,Male,17.1
2013,Africa,Sierra Leone,Male,19.2
2013,Africa,Namibia,Male,15.1
2013,Africa,Zambia,Male,16.2
2013,Africa,Nigeria,Male,32.9
2013,Africa,Democratic Republic of the Congo,Male,25.7
2013,Africa,Liberia,Male,16.8
2014,Africa,Ethiopia,Male,24.8
2014,Africa,Zimbabwe,Male,12.5
2014,Africa,Senegal,Male,13.8
2014,Africa,Nigeria,Male,21.3
1970,Americas,Canada,Male,1.8
1981,Americas,Barbados,Male,5
1986,Americas,Colombia,Male,9
1986,Americas,Dominican Republic,Male,11.4
1987,Americas,Guatemala,Male,29
1987,Americas,Trinidad and Tobago,Male,4.7
1988,Americas,United States of America,Male,0.6
1988,Americas,El Salvador,Male,11.6
1989,Americas,Bolivia (Plurinational State of),Male,10.4
1989,Americas,Brazil,Male,5.3
1989,Americas,Mexico,Male,14.6
1990,Americas,Paraguay,Male,2.2
1991,Americas,Dominican Republic,Male,9.3
1991,Americas,Peru,Male,9.7
1993,Americas,Bolivia (Plurinational State of),Male,15.1
1993,Americas,Nicaragua,Male,10.2
1993,Americas,El Salvador,Male,8.2
1994,Americas,Haiti,Male,25.3
1994,Americas,Jamaica,Male,5.4
1995,Americas,Colombia,Male,7
1995,Americas,Guatemala,Male,22.3
1995,Americas,Jamaica,Male,5
1996,Americas,Brazil,Male,4.8
1996,Americas,Dominican Republic,Male,5.3
1996,Americas,Honduras,Male,18.3
1996,Americas,Jamaica,Male,6.7
1996,Americas,Peru,Male,6.4
1997,Americas,Jamaica,Male,3.7
1997,Americas,Panama,Male,6.7
1997,Americas,Nicaragua,Male,11.1
1998,Americas,El Salvador,Male,9.9
1998,Americas,Mexico,Male,6.6
1998,Americas,Nicaragua,Male,11.2
1998,Americas,Bolivia (Plurinational State of),Male,6
1998,Americas,Guatemala,Male,22.7
1998,Americas,Jamaica,Male,4.1
1999,Americas,Suriname,Male,12.6
1999,Americas,Uruguay,Male,6.1
1999,Americas,United States of America,Male,1.6
1999,Americas,Jamaica,Male,2.2
1999,Americas,United States of America,Male,1.4
2000,Americas,Guyana,Male,13.6
2000,Americas,Haiti,Male,15.7
2000,Americas,Jamaica,Male,4.5
2000,Americas,Peru,Male,5.2
2000,Americas,Trinidad and Tobago,Male,4.4
2000,Americas,Dominican Republic,Male,4
2000,Americas,Colombia,Male,4.9
2001,Americas,Honduras,Male,13.1
2001,Americas,Jamaica,Male,5.5
2001,Americas,Nicaragua,Male,8.4
2002,Americas,Guatemala,Male,18
2002,Americas,Uruguay,Male,5.9
2002,Americas,Jamaica,Male,2.5
2002,Americas,Dominican Republic,Male,4.6
2002,Americas,El Salvador,Male,6.9
2002,Americas,Brazil,Male,4.3
2003,Americas,Bolivia (Plurinational State of),Male,6.1
2003,Americas,Uruguay,Male,6.5
2003,Americas,United States of America,Male,1.3
2003,Americas,Nicaragua,Male,5.3
2004,Americas,Jamaica,Male,3.9
2004,Americas,Ecuador,Male,6.5
2004,Americas,Colombia,Male,5.5
2004,Americas,Uruguay,Male,6.7
2004,Americas,Argentina,Male,2.4
2005,Americas,Honduras,Male,8.9
2005,Americas,Haiti,Male,20.4
2005,Americas,Peru,Male,6
2006,Americas,Jamaica,Male,2.3
2006,Americas,Nicaragua,Male,5.6
2006,Americas,Belize,Male,4
2006,Americas,Guyana,Male,11.4
2006,Americas,Suriname,Male,8
2006,Americas,Brazil,Male,2.2
2006,Americas,Mexico,Male,4.3
2007,Americas,United States of America,Male,1
2007,Americas,Peru,Male,4.5
2007,Americas,Uruguay,Male,6.1
2007,Americas,Dominican Republic,Male,3.2
2007,Americas,Jamaica,Male,1.9
2008,Americas,Panama,Male,2.8
2008,Americas,Chile,Male,0.6
2008,Americas,Costa Rica,Male,0.6
2008,Americas,Jamaica,Male,3
2008,Americas,El Salvador,Male,6.5
2008,Americas,Guatemala,Male,13.9
2008,Americas,Bolivia (Plurinational State of),Male,4.9
2009,Americas,Guyana,Male,12.8
2009,Americas,Peru,Male,4.9
2009,Americas,Colombia,Male,3.5
